df,Seed,Model,Epsilon,Test Index,Attack Name,True Y,Original Y Pred,Attacked Y Pred,Attacked AE,Original AE,Max Per,Sum Per,Cost Time,Window Range,Adv Example,
Electricity,2210,CNN,0.1,0,Non-targeted_1VITA,0.6725835204124451,0.6584773063659668,0.6590423583984375,0.013541162014007568,0.014106214046478271,0.004687786102294922,0.004687786102294922,1.806244134902954,[0.04901205003261566; 0.08901553601026535; 0.4500024914741516],[[[0.6418231129646301; 0.12937945127487183; 0.30765989422798157]; [0.6772295236587524; 0.13347816467285156; 0.4449610114097595]; [0.6784095764160156; 0.0532517172396183; 0.6704714298248291]; [0.6861473917961121; 0.04446263238787651; 0.7576624155044556]]],
Electricity,2210,CNN,0.1,1,Non-targeted_1VITA,0.9103538393974304,0.9087828397750854,0.9054980874061584,0.004855751991271973,0.0015709996223449707,0.044086754322052,0.044086754322052,1.62559175491333,[0.44276919960975647; 0.14444103837013245; 0.02130110375583172],[[[0.9424374103546143; 0.06804738193750381; 0.042364321649074554]; [0.9159548878669739; 0.03913185000419617; 0.021063219755887985]; [0.6872727274894714; 0.1835728883743286; 0.032823897898197174]; [0.4996682405471802; 0.12832427024841309; 0.040081463754177094]]],
Electricity,2210,CNN,0.1,2,Non-targeted_1VITA,0.24582427740097046,0.2331182062625885,0.23239484429359436,0.013429433107376099,0.012706071138381958,0.029789328575134277,0.029789328575134277,1.6748051643371582,[0.29896682500839233; 0.2935175597667694; 0.155409574508667],[[[0.6672875285148621; 0.4920886158943176; 0.3757491409778595]; [0.6183239817619324; 0.3925713002681732; 0.4112022817134857]; [0.6492853760719299; 0.6223219633102417; 0.3356468081474304]; [0.3683207035064697; 0.3288044035434723; 0.2557927072048187]]],
Electricity,2210,CNN,0.1,3,Non-targeted_1VITA,0.8914821147918701,0.8925114274024963,0.8957530856132507,0.004270970821380615,0.0010293126106262207,0.04437655210494995,0.04437655210494995,1.6935925483703613,[0.4450129568576813; 0.3348195254802704; 0.010767407715320587],[[[0.5957567095756531; 0.4335622191429138; 0.1821194291114807]; [0.4503851532936096; 0.5083969235420227; 0.1761055439710617]; [0.8661757111549377; 0.17357736825942993; 0.17135201394557953]; [0.9397746324539185; 0.27088305354118347; 0.17600120604038239]]],
Electricity,2210,CNN,0.1,4,Non-targeted_1VITA,0.85721355676651,0.7651246786117554,0.7655846476554871,0.09162890911102295,0.09208887815475464,0.0015290714800357819,0.0015290714800357819,1.912782907485962,[0.021519480273127556; 0.38747474551200867; 0.08698228746652603],[[[0.8583270907402039; 0.7205108404159546; 0.041571374982595444]; [0.8798465728759766; 0.48328855633735657; 0.04964115470647812]; [0.876378059387207; 0.4116901457309723; 0.03860407695174217]; [0.8663406372070312; 0.3330360949039459; 0.1255863606929779]]],
Electricity,2210,CNN,0.1,5,Non-targeted_1VITA,0.49215054512023926,0.7015939354896545,0.7011795043945312,0.209028959274292,0.20944339036941528,0.03417611122131348,0.03417611122131348,0.8519914150238037,[0.34533074498176575; 0.371470183134079; 0.08230388909578323],[[[0.3889906704425812; 0.3055124282836914; 0.22869889438152313]; [0.5233582854270935; 0.5049422383308411; 0.1463949978351593]; [0.7343214154243469; 0.4028388559818268; 0.20673422515392303]; [0.7646461725234985; 0.13347207009792328; 0.2036333680152893]]],
Electricity,2210,CNN,0.1,6,Non-targeted_1VITA,0.9123035073280334,0.9362701773643494,0.9368999600410461,0.024596452713012695,0.023966670036315918,0.047857046127319336,0.047857046127319336,1.1821043491363525,[0.47953590750694275; 0.3076813220977783; 0.06266380846500397],[[[0.5280544757843018; 0.23072287440299988; 0.10919319838285446]; [0.43706586956977844; 0.35196709632873535; 0.08490809798240662]; [0.8484265208244324; 0.18226398527622223; 0.10361751168966293]; [0.9644588232040405; 0.48994532227516174; 0.14757190644741058]]],
Electricity,2210,CNN,0.1,7,Non-targeted_1VITA,0.8356608152389526,0.8215214610099792,0.8228453993797302,0.012815415859222412,0.014139354228973389,0.044280946254730225,0.044280946254730225,1.7005865573883057,[0.4453504681587219; 0.21588939428329468; 0.21359114348888397],[[[0.39232781529426575; 0.216313898563385; 0.41575130820274353]; [0.7942672967910767; 0.2681298553943634; 0.5180208086967468]; [0.834976851940155; 0.18084894120693207; 0.4276580512523651]; [0.7933973073959351; 0.05224045366048813; 0.30442965030670166]]],
Electricity,2210,CNN,0.1,8,Non-targeted_1VITA,0.6037060022354126,0.3822411298751831,0.38072842359542847,0.22297757863998413,0.2214648723602295,0.02823173999786377,0.02823173999786377,0.5304577350616455,[0.28719213604927063; 0.15599554777145386; 0.16243134438991547],[[[0.796183705329895; 0.1068401113152504; 0.5418217778205872]; [0.7530205249786377; 0.2265070378780365; 0.643327534198761]; [0.7299939393997192; 0.12631027400493622; 0.49925294518470764]; [0.5089915990829468; 0.07051149755716324; 0.4808962047100067]]],
Electricity,2210,CNN,0.1,9,Non-targeted_1VITA,0.6438137292861938,0.5536741018295288,0.5495489239692688,0.09426480531692505,0.09013962745666504,0.0015061721205711365,0.0015061721205711365,1.8118488788604736,[0.019352447241544724; 0.3592362105846405; 0.053248584270477295],[[[0.6949135661125183; 0.17727720737457275; 0.013755571097135544]; [0.6837395429611206; 0.20674654841423035; 0.06618616729974747]; [0.7030920386314392; 0.23289909958839417; 0.0370640866458416]; [0.6937335133552551; 0.5365134477615356; 0.065497986972332]]],
Electricity,2210,CNN,0.1,10,Non-targeted_1VITA,0.6396752595901489,0.5309802293777466,0.5297123193740845,0.10996294021606445,0.10869503021240234,0.0038805603981018066,0.0038805603981018066,1.910066843032837,[0.03958960622549057; 0.10676448047161102; 0.22599869966506958],[[[0.6440361738204956; 0.12439998239278793; 0.7684840559959412]; [0.6836257576942444; 0.04062129929661751; 0.6363871693611145]; [0.6834570169448853; 0.04938598349690437; 0.5424853563308716]; [0.6522820591926575; 0.017635498195886612; 0.7388361096382141]]],
Electricity,2210,CNN,0.1,11,Non-targeted_1VITA,0.33854061365127563,0.4572620987892151,0.45985275506973267,0.12131214141845703,0.11872148513793945,0.005590200424194336,0.005590200424194336,1.9646363258361816,[0.057833604514598846; 0.15409256517887115; 0.05201742798089981],[[[0.6921277046203613; 0.019872719421982765; 0.08109360188245773]; [0.701946496963501; 0.0; 0.09509540349245071]; [0.6441128849983215; 0.15409256517887115; 0.13259769976139069]; [0.6504049897193909; 0.06629322469234467; 0.13311102986335754]]],
Electricity,2210,CNN,0.1,12,Non-targeted_1VITA,0.8295036554336548,0.8419036269187927,0.8402183651924133,0.010714709758758545,0.01239997148513794,0.04651552438735962,0.04651552438735962,1.9687657356262207,[0.46629080176353455; 0.2524058520793915; 0.14764702320098877],[[[0.8981979489326477; 0.3226111829280853; 0.18146002292633057]; [0.8570793271064758; 0.33769962191581726; 0.31405773758888245]; [0.5258321166038513; 0.5750170350074768; 0.16641069948673248]; [0.43190717697143555; 0.49070894718170166; 0.16862261295318604]]],
Electricity,2210,CNN,0.1,13,Non-targeted_1VITA,0.3922511041164398,0.49807560443878174,0.49600130319595337,0.10375019907951355,0.10582450032234192,0.002445012331008911,0.002445012331008911,1.98829984664917,[0.041865311563014984; 0.3977544903755188; 0.07252141088247299],[[[0.708337664604187; 0.1682758629322052; 0.3980602025985718]; [0.7247751355171204; 0.49749013781547546; 0.4579939842224121]; [0.732524037361145; 0.4138834476470947; 0.3892918527126312]; [0.6906587481498718; 0.09973565489053726; 0.4618132710456848]]],
Electricity,2210,CNN,0.1,14,Non-targeted_1VITA,0.38816505670547485,0.4973086714744568,0.4998636841773987,0.11169862747192383,0.10914361476898193,0.042755305767059326,0.042755305767059326,1.0747971534729004,[0.42853453755378723; 0.16953720152378082; 0.2066507488489151],[[[0.25571131706237793; 0.06345095485448837; 0.16848070919513702]; [0.6708537340164185; 0.2329881489276886; 0.15199154615402222]; [0.6842458248138428; 0.09660062193870544; 0.11176402121782303]; [0.6250482797622681; 0.1627621054649353; 0.3184147775173187]]],
Electricity,2210,CNN,0.1,15,Non-targeted_1VITA,0.6906587481498718,0.6823962926864624,0.6811095476150513,0.009549200534820557,0.008262455463409424,0.006738007068634033,0.006738007068634033,2.012122631072998,[0.0697311982512474; 0.3367566764354706; 0.07973306626081467],[[[0.6627928614616394; 0.16073347628116608; 0.4690249264240265]; [0.708337664604187; 0.1682758629322052; 0.3980602025985718]; [0.7247751355171204; 0.49749013781547546; 0.4555489718914032]; [0.725786030292511; 0.4138834476470947; 0.3892918527126312]]],
Electricity,2210,CNN,0.1,16,Non-targeted_1VITA,0.2097126543521881,0.29862552881240845,0.3000923991203308,0.0903797447681427,0.08891287446022034,0.0038933753967285156,0.0038933753967285156,1.8198230266571045,[0.044426120817661285; 0.05538402870297432; 0.3894212245941162],[[[0.49328476190567017; 0.03328140825033188; 0.7765846252441406]; [0.5061556696891785; 0.080176442861557; 0.3871634006500244]; [0.5163282155990601; 0.02479241043329239; 0.4857310950756073]; [0.471902072429657; 0.028978966176509857; 0.5463249087333679]]],
Electricity,2210,CNN,0.1,17,Non-targeted_1VITA,0.5923393368721008,0.6792666912078857,0.6776934266090393,0.08535408973693848,0.08692735433578491,0.04092985391616821,0.04092985391616821,1.0930507183074951,[0.41347140073776245; 0.24420231580734253; 0.05003088340163231],[[[0.7915632724761963; 0.4777638018131256; 0.02300385572016239]; [0.7576991319656372; 0.655134916305542; 0.04903343692421913]; [0.5144232511520386; 0.7219661474227905; 0.05476353317499161]; [0.37809187173843384; 0.5846856236457825; 0.07303474098443985]]],
Electricity,2210,CNN,0.1,18,Non-targeted_1VITA,0.778352677822113,0.7675321698188782,0.7631261348724365,0.015226542949676514,0.010820508003234863,0.01254260540008545,0.01254260540008545,1.9582955837249756,[0.12588615715503693; 0.10846130549907684; 0.44315391778945923],[[[0.697260856628418; 0.25549575686454773; 0.4920538067817688]; [0.7815987467765808; 0.14703446626663208; 0.17671902477741241]; [0.820391833782196; 0.1526775360107422; 0.08747892081737518]; [0.8106043934822083; 0.2055303454399109; 0.04889988899230957]]],
Electricity,2210,CNN,0.1,19,Non-targeted_1VITA,0.11792118102312088,0.17768990993499756,0.1785188913345337,0.06059771031141281,0.05976872891187668,0.027814596891403198,0.027814596891403198,1.9612154960632324,[0.2783520221710205; 0.08714793622493744; 0.3139617443084717],[[[0.45466041564941406; 0.10469072312116623; 0.619392991065979]; [0.4960130453109741; 0.03418654203414917; 0.3497779667377472]; [0.46941542625427246; 0.01754278875887394; 0.616905689239502]; [0.24547560513019562; 0.07554219663143158; 0.6637397408485413]]],
Electricity,2210,CNN,0.1,20,Non-targeted_1VITA,0.2548035979270935,0.3445812463760376,0.3429754376411438,0.08817183971405029,0.08977764844894409,0.006706178188323975,0.006706178188323975,1.9720149040222168,[0.07178188860416412; 0.09662745893001556; 0.14094452559947968],[[[0.6088816523551941; 0.19260351359844208; 0.36804500222206116]; [0.6225921511650085; 0.09597605466842651; 0.30064019560813904]; [0.594549298286438; 0.12300324440002441; 0.23182478547096252]; [0.5508102178573608; 0.1575472056865692; 0.372769296169281]]],
Electricity,2210,CNN,0.1,21,Non-targeted_1VITA,0.6231994032859802,0.5374386310577393,0.5362492203712463,0.08695018291473389,0.08576077222824097,0.04437071084976196,0.04437071084976196,1.8208744525909424,[0.44524818658828735; 0.14821285009384155; 0.20595796406269073],[[[0.664178729057312; 0.23509728908538818; 0.8153014183044434]; [0.6477310061454773; 0.2266363501548767; 0.609343409538269]; [0.30336859822273254; 0.08688444644212723; 0.6404520869255066]; [0.21893054246902466; 0.09890249371528625; 0.6237166523933411]]],
Electricity,2210,CNN,0.1,22,Non-targeted_1VITA,0.8209390640258789,0.7557254433631897,0.7550666928291321,0.06587237119674683,0.06521362066268921,0.009614527225494385,0.009614527225494385,1.9769582748413086,[0.10268162190914154; 0.5250723958015442; 0.08795469254255295],[[[0.7650257349014282; 0.9089716672897339; 0.12650451064109802]; [0.8316834568977356; 0.7414984703063965; 0.08765421062707901]; [0.8773218989372253; 0.4834885895252228; 0.1113174632191658]; [0.8468526601791382; 0.3838993310928345; 0.17560890316963196]]],
Electricity,2210,CNN,0.1,23,Non-targeted_1VITA,0.7662645578384399,0.728635847568512,0.7275516986846924,0.03871285915374756,0.03762871026992798,0.041095584630966187,0.041095584630966187,2.003917694091797,[0.4112609028816223; 0.2930466830730438; 0.421301931142807],[[[0.7654565572738647; 0.3718312680721283; 0.6627756357192993]; [0.7347908020019531; 0.34501755237579346; 0.47145384550094604]; [0.5282576680183411; 0.17140601575374603; 0.2569487392902374]; [0.3541956841945648; 0.07878458499908447; 0.2414737194776535]]],
Electricity,2210,CNN,0.1,24,Non-targeted_1VITA,0.8951858878135681,0.838093101978302,0.8415572047233582,0.05362868309020996,0.05709278583526611,0.03967064619064331,0.03967064619064331,1.177088975906372,[0.4116802513599396; 0.1322668492794037; 0.02639266848564148],[[[0.873648464679718; 0.10929446667432785; 0.2611054480075836]; [0.6268896460533142; 0.13506032526493073; 0.2721858620643616]; [0.46196824312210083; 0.23950830101966858; 0.24612289667129517]; [0.8143356442451477; 0.24156132340431213; 0.2457931935787201]]],
Electricity,2210,CNN,0.1,25,Non-targeted_1VITA,0.5502630472183228,0.44525158405303955,0.44140559434890747,0.10885745286941528,0.1050114631652832,0.005779445171356201,0.005779445171356201,1.9941914081573486,[0.060123372822999954; 0.2201210856437683; 0.11488156020641327],[[[0.5576680302619934; 0.3103186786174774; 0.21099944412708282]; [0.5899741053581238; 0.18871216475963593; 0.3258810043334961]; [0.6177914142608643; 0.09019757807254791; 0.28163447976112366]; [0.569333553314209; 0.17285887897014618; 0.2830409109592438]]],
Electricity,2210,CNN,0.1,26,Non-targeted_1VITA,0.5580835342407227,0.4054262638092041,0.4060057997703552,0.15207773447036743,0.15265727043151855,0.04289954900741577,0.04289954900741577,0.9695475101470947,[0.43237510323524475; 0.0476074293255806; 0.1540907770395279],[[[0.5751129984855652; 0.17285887897014618; 0.2830409109592438]; [0.5502630472183228; 0.15791438519954681; 0.40501728653907776]; [0.2611550986766815; 0.17641110718250275; 0.25092649459838867]; [0.09983833134174347; 0.12880367040634155; 0.3940620720386505]]],
